"Date","IE","Firefox","Safari","Chrome","Android","Opera","Edge","Samsung Internet","Unknown","IEMobile","Chromium","Mozilla","Maxthon","SeaMonkey","Sony PS3","360 Safe Browser","Nokia","BlackBerry","UC Browser","Yandex Browser","Iron","Puffin","Iceweasel","AppleWebKit","Camino","Other"
2009-01,46.19,42.55,7.19,1.38,0,2.01,0,0,0,0,0,0.19,0,0.07,0.1,0,0.03,0,0,0,0,0,0.04,0.03,0,0.21
2009-02,46.33,42.27,7.22,1.44,0,2.09,0,0,0,0,0,0.18,0,0.06,0.07,0,0.03,0,0,0,0.02,0,0.02,0.04,0,0.23
2009-03,46.1,41.94,7.73,1.47,0,2.12,0,0,0,0,0,0.19,0,0.06,0.1,0,0.03,0,0,0,0.01,0,0.03,0.04,0,0.17
2009-04,44.38,43.2,7.7,1.89,0,2.1,0,0,0,0,0,0.19,0,0.07,0.15,0,0.04,0,0,0,0.01,0,0.02,0.03,0,0.2
2009-05,43.93,43.23,7.69,2.18,0,2.06,0,0,0,0,0,0.34,0,0.07,0.14,0,0.04,0,0,0,0.01,0,0.01,0.04,0,0.23
2009-06,43.48,42.84,8.22,2.33,0,2.18,0,0,0,0,0,0.44,0,0.06,0.14,0,0.04,0.01,0,0,0.01,0,0.01,0.06,0,0.17
2009-07,43.15,42.9,8.66,2.59,0.01,1.96,0,0,0,0,0,0.25,0,0.06,0.16,0,0.05,0.01,0,0,0,0,0.01,0.06,0,0.15
2009-08,43.21,42.13,9.33,2.65,0.01,1.91,0,0,0,0,0,0.27,0,0.07,0.15,0,0.06,0.01,0,0,0,0,0.01,0.04,0,0.14
2009-09,43.35,41.35,9.35,2.85,0.01,2.32,0,0,0,0,0,0.31,0,0.06,0.15,0,0.07,0.01,0,0,0,0,0.01,0.03,0,0.13
2009-10,44.08,40.72,9.5,2.94,0.01,1.91,0,0,0,0,0,0.35,0,0.06,0.19,0,0.06,0.01,0,0,0,0,0.02,0.03,0,0.12
2009-11,43.4,40.05,10.2,3.18,0.01,2.13,0,0,0,0,0,0.5,0,0.07,0.19,0,0.06,0.01,0,0,0,0,0.01,0.04,0,0.15
2009-12,42.59,40.31,10.09,3.63,0.02,2.2,0,0,0,0,0,0.5,0.03,0.06,0.26,0,0.07,0.01,0,0,0,0,0.01,0.03,0.03,0.16
2010-01,42.25,39.8,10.81,4.03,0.02,2.07,0,0,0,0,0,0.41,0.04,0.06,0.16,0,0.07,0.01,0,0,0,0,0.01,0.03,0.05,0.16
2010-02,43.21,38.8,10.82,4.58,0.03,1.83,0,0,0,0,0,0.19,0.04,0.06,0.15,0,0.08,0.01,0,0,0,0,0.01,0.02,0.05,0.12
2010-03,44.1,37.41,11.12,4.78,0.03,1.82,0,0,0,0,0,0.18,0.04,0.07,0.15,0,0.08,0.01,0,0,0,0,0.01,0.02,0.05,0.11
2010-04,43.62,37.68,11.06,5.01,0.04,1.81,0,0,0.01,0,0,0.2,0.04,0.06,0.18,0,0.08,0.01,0,0,0,0,0,0.02,0.05,0.13
2010-05,42.65,37.48,11.39,5.49,0.06,2.15,0,0,0.02,0,0,0.19,0.04,0.06,0.19,0,0.08,0.01,0,0,0,0,0,0.02,0.05,0.12
2010-06,42.83,37.01,11.59,5.71,0.08,2.07,0,0,0,0,0,0.16,0.03,0.06,0.16,0,0.09,0.01,0,0,0,0,0.01,0.02,0.04,0.12
